geneNames	s1	s2	s3	s4
CDKN2B	23	7	5	14
CDKN2C	3	9	1	6
CDR2	6	4	1	7
CDR2L	4	10	153	61
CDS2	11	8	1	24
CDV3	23	57	47	37
CDYL	6	8	6	15
CEBPG	9	12	13	9
CEBPZ	7	9	9	6
CEBPZOS	6	8	14	6
CELF1	18	25	4	6
CELF2	0	5	7	0
CEMIP	153	127	13	24
CENPB	10	17	0	25
CENPBD1P1	3	7	5	0
CENPC	5	2	12	15
CENPE	0	16	10	9
CENPF	3	27	9	18
CENPN	2	9	6	6
CENPO	1	6	10	17
CENPT	4	7	0	6
CEP104	5	5	5	12
CEP120	2	5	3	10
CEP162	9	2	12	13
CEP164	7	8	18	45
CEP170	30	27	25	19
CEP170B	1	10	25	23
CEP192	8	8	3	6
CEP250	10	5	8	14
CEP290	5	2	12	9
CEP295	5	4	32	26
CEP350	13	19	7	7
CEP44	5	0	10	21
CEP55	0	10	4	5
CEP57	14	5	13	10
CEP63	8	8	20	14
CEP68	4	5	13	20
CEP85	2	9	2	7
CEP85L	2	6	6	2
CEP95	7	3	8	11
CEPT1	7	1	13	19
CERCAM	27	33	26	41
CERK	13	12	12	7
CERS2	26	30	2	15
CERS5	8	8	3	6
CERS6	10	8	14	40
CES2	3	8	22	17
CETN2	8	4	12	15
CFAP36	11	5	7	6
CFAP97	13	19	10	32
CFB	5	2	7	5
CFDP1	7	7	9	33
CFH	67	9	5	1
CFL1	59	172	7	10
CFL2	18	32	45	42
CFLAR	12	25	7	5
CGGBP1	26	23	4	5
CHAMP1	5	9	11	4
CHCHD2	12	19	30	23
CHCHD3	10	8	23	37
CHCHD7	7	4	4	6
CHD1	6	6	21	39
CHD1L	2	7	55	189
CHD2	20	16	0	21
CHD3	39	41	20	37
CHD4	67	41	16	0
CHD6	8	8	11	15
CHD8	5	16	8	13
CHD9	15	14	14	29
CHEK1	4	5	8	5
CHERP	5	3	19	25
CHFR	6	4	5	3
CHI3L1	9	0	325	70
CHID1	8	8	15	27
CHM	10	6	23	44
CHML	7	19	5	7
CHMP1A	6	18	4	7
CHMP1B	7	8	8	7
CHMP2A	8	10	7	14
CHMP2B	10	3	12	0
CHMP4A	3	5	22	12
CHMP4B	10	20	6	11
CHMP5	17	17	46	130
CHMP7	2	9	0	6
CHN1	6	1	17	5
CHORDC1	7	5	0	8
CHP1	17	29	8	2
CHPF	14	17	0	6
CHPF2	18	11	330	21
CHPT1	3	5	41	43
CHRAC1	3	5	28	31
CHRDL1	9	0	9	16
CHST11	12	6	11	14
CHST3	26	29	6	6
CHSY1	9	19	17	26
CHTF8	6	15	5	6
CHTOP	5	5	11	8
CHUK	6	10	11	24
CHURC1	11	5	8	2
CIAO1	12	7	9	15
CIB1	3	8	31	29
CIC	8	8	6	6
CILP2	10	0	22	22
CIR1	4	5	5	1
CIRBP	23	17	5	5
CIRH1A	6	14	5	4
CISD1	6	5	5	10
CISD2	4	9	0	14
CIT	0	15	8	2
CITED2	13	40	5	1
CIZ1	19	17	20	48
CKAP2	2	25	10	9
CKAP2L	0	10	12	10
CKAP4	31	81	33	49
CKAP5	19	37	8	15
CKS1B	2	5	5	5
CKS2	3	11	4	7
CLASP1	11	10	6	1
CLASP2	8	13	5	2
CLASRP	2	5	75	144
CLCC1	3	9	2	5
CLCN3	24	11	1	5
CLCN4	6	2	3	10
CLCN5	5	4	11	26
CLCN6	7	1	0	5
CLCN7	22	5	24	18
CLDN12	9	4	16	11
CLDND1	16	15	11	4
CLEC11A	2	8	9	10
CLEC16A	2	5	47	114
CLIC1	20	73	10	13
CLIC4	121	398	29	51
CLINT1	15	20	0	25
CLIP1	20	25	6	7
CLIP2	10	11	5	11
CLIP3	24	11	68	187
CLIP4	17	8	5	11
CLK1	25	8	17	14
CLK3	2	6	9	15
CLK4	8	2	80	85
CLMP	30	38	12	19
CLN3	6	5	4	6
CLN5	10	3	7	2
CLN8	4	6	7	6
CLNS1A	9	6	32	87
CLOCK	7	15	27	15
CLPTM1	12	12	22	32
CLPTM1L	5	17	69	32
CLPX	7	4	18	14
CLSPN	0	9	7	13
CLSTN1	37	58	16	20
CLSTN3	4	6	22	20
CLTA	23	13	10	12
CLTB	4	7	12	15
CLTC	126	173	17	6
CLTCL1	15	3	1	6
CLUAP1	6	1	17	17
CMPK1	21	28	16	10
CMSS1	6	6	5	3
CMTM3	32	3	17	13
CMTM4	13	14	27	7
CMTM6	22	18	24	11
CMTM8	5	1	59	172
CMTR1	11	12	81	47
CMTR2	5	8	59	29
CNBP	33	28	22	65
CNDP2	4	11	8	11
CNIH1	19	10	4	6
CNN2	57	67	9	2
CNN3	64	65	10	4
CNNM2	5	2	1	8
CNNM3	7	2	8	4
CNOT1	27	43	13	11
CNOT10	6	3	33	1
CNOT11	2	10	75	47
CNOT2	11	4	54	25
CNOT3	5	6	30	59
CNOT4	5	6	46	43
CNOT6L	8	5	1	60
CNOT7	12	12	11	7
CNOT8	8	7	11	13
CNP	8	12	28	45
CNPY2	5	5	14	10
CNPY3	5	7	16	27
CNRIP1	3	7	13	13
CNST	9	11	18	10
CNTLN	10	3	6	3
CNTN5	0	5	4	7
CNTNAP1	14	17	10	5
CNTNAP3	0	5	4	11
CNTROB	5	4	9	0
COA1	4	7	19	21
COA5	6	5	7	2
COASY	6	10	5	3
COBLL1	4	6	5	5
COG1	5	9	5	6
COG2	5	2	1	6
COG3	7	10	22	1
COG4	8	4	1	5
COG5	6	10	7	19
COG6	5	5	22	14
COL10A1	116	0	6	6
COL11A1	101	43	12	35
COL12A1	359	167	96	39
COL13A1	1	6	29	14
COL14A1	59	1	0	17
COL16A1	45	13	7	4
COL1A1	2390	2222	17	28
COL1A2	3010	2058	4	5
COL21A1	9	1	19	13
COL3A1	1523	300	22	24
COL4A1	52	350	7	9
COL4A2	81	217	19	23
COL4A3BP	24	6	20	7
COL4A4	26	3	34	28
COL4A5	1	12	10	6
COL5A1	207	249	19	10
COL5A2	297	216	9	10
COL6A1	253	171	16	6
COL6A2	364	155	22	17
COL6A3	2386	225	4	5
COL7A1	8	4	6	1
COL8A1	289	101	9	5
COL8A2	12	0	1	6
COLEC12	9	5	7	8
COLGALT1	23	45	108	59
COMMD2	10	9	13	14
COMMD4	6	3	7	13
COMMD6	9	10	17	10
COMMD7	5	3	7	2
COMMD9	5	2	19	11
COMP	121	0	7	6
COMT	7	17	4	18
COPA	54	63	4	8
COPB1	43	37	22	18
COPB2	43	65	5	4
COPE	9	14	8	8
COPG1	28	42	14	16
COPG2	5	5	13	13
COPRS	8	5	9	7
COPS2	19	22	7	4
COPS3	9	11	3	7
COPS4	6	7	9	11
COPS5	11	11	13	8
COPS6	6	17	12	8
COPS7A	11	10	12	15
COPS8	16	5	21	23
COPZ1	18	24	43	6
COPZ2	5	12	22	7
COQ10B	8	9	71	189
COQ5	5	1	28	33
COQ9	8	2	6	5
CORIN	7	0	6	2
CORO1B	10	9	10	4
CORO1C	32	99	13	8
COTL1	15	55	5	3
COX11	4	9	11	8
COX15	6	8	15	12
COX4I1	18	21	21	0
COX5A	5	3	14	22
COX5B	12	4	7	6
COX6A1	5	8	16	18
COX6B1	11	9	9	7
COX6C	7	5	3	7
COX7A2	6	7	8	17
COX7A2L	25	19	6	10
COX7B	9	8	7	14
COX7C	18	22	5	2
COX8A	3	11	6	14
CPA4	1	68	6	7
CPD	28	31	5	13
CPEB2	4	12	11	8
CPEB4	3	15	6	10
CPED1	16	23	23	34
CPM	14	2	5	0
CPNE1	23	20	104	57
CPNE3	27	10	5	7
CPNE7	5	6	11	14
CPNE8	6	2	9	5
CPOX	6	8	23	234
CPPED1	6	9	23	11
CPQ	10	11	1	44
CPSF1	6	6	24	60
CPSF2	15	13	140	105
CPSF3	5	3	7	13
CPSF3L	8	6	10	17
CPSF4	6	2	5	4
CPSF6	12	12	9	8
CPSF7	13	11	19	33
CPT1A	8	10	28	22
CPT2	5	4	5	4
CRAT	7	11	8	12
CRBN	10	4	13	10
CRCP	5	4	132	34
CREB1	4	9	35	27
CREB3	10	15	17	26
CREB3L1	16	26	34	36
CREB3L2	22	40	32	24
CREBBP	17	16	196	54
CREBL2	12	11	8	2
CREBRF	16	5	9	5
CREBZF	13	8	11	13
CREG1	26	7	1	9
CRELD1	4	5	1	7
CRELD2	1	5	23	15
CRIM1	29	268	19	25
CRISPLD2	13	13	24	38
CRK	19	26	25	35
CRKL	12	10	4	7
CRNKL1	3	6	6	12
CRTAP	67	33	6	13
CRTC2	5	5	5	6
CRTC3	8	7	11	13
CRY1	5	8	62	96
CRY2	6	2	95	250
CRYAB	5	18	0	6
CRYBG3	6	11	10	18
CRYZ	11	9	0	7
CRYZL1	6	4	11	13
CS	20	30	7	11
CSAD	5	4	7	15
CSDE1	144	115	25	15
CSE1L	11	35	7	5
CSF1	15	17	14	37
CSGALNACT1	12	2	8	13
CSGALNACT2	31	5	7	7
CSK	5	5	5	12
CSNK1A1	24	30	74	3
CSNK1D	16	18	3	9
CSNK1G1	8	13	7	12
CSNK1G2	8	5	11	6
CSNK1G3	10	12	2	8
CSNK2A1	10	16	0	13
CSNK2B	15	14	7	12
CSPG4	7	35	7	5
CSRNP2	5	10	6	5
CSRP1	24	141	8	16
CSRP2BP	5	6	11	8
CST3	38	10	6	4
CSTB	13	11	26	24
CSTF2T	5	4	30	54
CSTF3	3	6	2	14
CTBP1	11	12	10	15
CTBP2	6	13	5	12
CTC1	6	1	6	10
CTCF	14	9	67	33
CTDNEP1	12	11	110	26
CTDSP1	13	6	4	11
CTDSP2	96	39	57	30
CTDSPL	15	7	5	3
CTDSPL2	5	2	52	53
CTGF	65	231	25	29
CTHRC1	101	8	3	12
CTIF	4	16	1	5
CTNNA1	59	87	19	13
CTNNAL1	10	12	52	21
CTNNB1	99	72	8	5
CTNNBL1	2	7	19	15
CTNS	7	2	16	17
CTPS1	2	33	6	14
CTR9	9	12	10	9
CTSA	54	38	5	3
CTSB	1087	158	38	11
CTSC	5	12	25	22
CTSD	116	46	20	16
CTSK	72	1	5	19
CTSL	30	38	48	67
CTSO	13	1	14	12
CTSZ	28	43	5	9
CTTN	58	45	12	6
CTTNBP2NL	12	9	0	16
CUEDC1	7	4	20	13
CUEDC2	5	4	2	12
CUL1	8	9	3	21
CUL2	9	13	5	0
CUL3	18	12	8	0
CUL4A	14	14	73	4
CUL4B	37	69	10	3
CUL5	11	5	10	2
CUL7	9	13	10	19
CUL9	3	8	1	36
CUTA	12	22	9	10
CUX1	16	20	41	30
CWC15	4	14	1	35
CWF19L2	2	5	9	27
CXCL12	199	184	11	10
CXXC1	7	1	13	16
CXXC5	6	9	5	6
CYB561A3	10	9	4	6
CYB561D1	4	5	15	20
CYB5B	5	17	3	5
CYB5R1	8	15	14	28
CYB5R3	29	48	7	2
CYBRD1	241	31	11	15
CYC1	2	6	4	5
CYCS	7	21	5	7
CYFIP1	18	27	93	113
CYFIP2	0	5	4	13
CYGB	9	0	6	7
CYLD	12	15	8	4
CYP1B1	134	64	28	10
CYP20A1	5	9	23	49
CYP27A1	5	0	19	20
CYP2U1	17	7	24	7
CYP4V2	5	4	8	5
CYP51A1	13	10	22	32
CYR61	44	223	5	2
CYTH1	4	6	7	4
CYTH2	10	9	11	18
CYTH3	16	14	6	6
DAAM1	10	3	11	8
DAAM2	13	14	18	18
DAB2	90	85	10	26
DAB2IP	2	7	18	21
DACT1	14	8	29	47
DAD1	26	16	12	16
DAG1	12	24	0	6
DAGLB	2	9	7	7
DANCR	4	5	49	40
DAP	24	47	9	13
DAP3	13	18	24	42
DAPK3	9	9	0	6
DARS	5	14	5	5
DARS2	5	9	6	9
DAXX	7	7	6	4
DAZAP1	4	6	9	16
DAZAP2	33	35	11	3
DBI	13	14	12	6
DBN1	22	21	0	5
DBNL	6	12	1	5
DBT	8	2	10	15
DCAF10	5	8	6	13
DCAF11	8	12	25	35
DCAF12	4	10	7	7
DCAF13	4	7	19	24
DCAF16	5	2	4	12
DCAF17	5	5	2	13
DCAF4	6	2	21	15
DCAF5	10	11	14	4
DCAF6	20	17	41	50
DCAF7	10	11	10	19
DCAF8	12	8	5	4
DCAKD	6	6	0	14
DCBLD1	6	12	6	0
DCBLD2	26	68	31	81
DCLK2	1	21	44	94
DCLRE1A	0	5	70	60
DCLRE1B	5	3	18	32
DCN	894	22	3	8
DCP1A	4	5	6	17
DCP2	5	6	9	17
DCTD	10	14	36	43
DCTN1	33	64	31	37
DCTN2	19	23	11	11
DCTN3	6	9	13	19
DCTN4	16	24	25	34
DCTN5	4	15	7	4
DCTN6	4	5	2	5
DCUN1D1	9	12	16	69
DCUN1D3	4	6	11	19
DCUN1D4	7	5	4	5
DCUN1D5	6	7	88	23
DDAH1	4	65	5	1
DDAH2	5	7	14	19
DDB1	58	56	28	17
DDB2	7	5	20	59
DDHD1	3	10	20	1
DDHD2	4	7	7	9
DDIT3	6	2	3	7
DDIT4	16	2	3	5
DDOST	33	49	11	7
DDR1	4	14	8	7
DDR2	26	29	33	6
DDRGK1	1	6	14	14
DDX1	20	37	9	8
DDX10	2	5	17	20
DDX17	106	70	10	7
DDX18	12	6	13	14
DDX19A	4	8	39	118
DDX21	21	29	8	4
DDX23	22	17	8	1
DDX24	18	22	14	12
DDX27	3	12	3	5
DDX39A	3	5	58	5
DDX3X	54	61	12	3
DDX3Y	24	10	8	7
DDX41	6	10	10	4
DDX42	15	19	15	16
DDX46	6	12	5	44
DDX47	3	15	23	6
DDX49	3	6	7	16
DDX5	157	91	8	4
DDX50	6	8	38	20
DDX52	6	9	0	8
DDX54	4	7	4	12
DDX56	9	10	7	9
DDX6	24	42	14	23
DDX60L	6	3	408	957
DECR1	6	8	3	14
DEDD	3	7	84	66
DEF8	9	3	26	29
DEGS1	22	25	27	87
DEK	22	39	2	6
DENND4A	8	7	9	13
DENND4B	5	4	12	25
DENND4C	17	7	30	87
DENND5A	12	26	58	49
DENND5B	5	9	37	95
DENND6A	5	4	7	10
DENR	9	17	7	4
DEPDC1	0	13	4	16
DEPTOR	15	6	6	3
DERA	5	7	18	31
DERL1	14	18	6	9
DERL2	4	5	10	5
DESI1	5	10	1	6
DESI2	16	10	26	26
DET1	5	1	7	7
DFFA	1	6	6	3
DGCR2	14	14	5	2
DGCR8	5	8	14	9
DGKA	6	13	31	32
DGKD	0	5	6	3
DGKH	8	8	3	11
DGKZ	8	9	27	27
DGUOK	5	5	5	4
DHCR24	25	58	42	32
DHCR7	12	8	17	29
DHDDS	5	8	8	12
DHFR	2	6	16	13
DHRS3	7	7	3	5
DHRS7	5	8	9	9
DHRSX	5	1	2	11
DHX15	16	23	10	6
DHX29	7	14	24	21
DHX30	4	14	6	9
DHX32	9	6	48	27
DHX33	2	7	3	12
DHX35	5	4	9	11
DHX36	6	14	0	5
DHX38	3	10	38	88
DHX40	9	4	5	3
DHX57	3	6	1	7
DHX8	10	8	15	16
DHX9	28	30	6	20
DIAPH1	15	24	7	9
DIAPH3	0	14	26	16
DICER1	13	20	13	14
DIDO1	9	3	6	5
DIEXF	11	6	18	36
DIMT1	3	8	17	43
DIP2A	5	7	35	78
DIP2B	7	9	68	98
DIP2C	15	6	10	13
DIRAS3	5	0	5	14
DIRC2	5	1	69	1
DIS3	11	9	9	7
DIS3L	7	5	7	10
DIXDC1	14	10	12	12
DKC1	8	11	0	33
DKK1	7	13	4	9
DKK3	16	26	14	31
DLAT	5	4	4	9
DLC1	23	58	13	9
DLD	6	18	9	17
DLG1	16	69	8	1
DLG5	32	26	13	21
DLGAP4	6	12	10	3
DLGAP5	0	18	14	17
DLST	17	23	12	11
DMAP1	2	6	5	5
DMD	12	4	11	16
DMPK	8	6	5	2
DMTF1	16	6	78	271
DMXL1	9	13	11	7
DMXL2	7	19	10	9
DNA2	0	6	7	13
DNAH11	0	14	19	5
DNAJA1	25	30	7	6
DNAJA2	12	8	42	27
DNAJA3	4	5	42	21
DNAJB1	10	9	13	14
DNAJB11	9	9	6	1
DNAJB12	5	10	21	14
DNAJB14	9	5	58	128
DNAJB2	6	7	130	122
DNAJB4	5	44	1	5
DNAJB5	2	6	14	31
DNAJB6	20	25	5	4
DNAJB9	7	3	2	12
DNAJC1	3	6	18	19
DNAJC10	28	45	6	4
DNAJC11	6	5	5	32
DNAJC13	31	26	7	3
DNAJC14	11	7	5	0
DNAJC15	9	2	12	18
DNAJC16	7	3	5	13
DNAJC18	5	1	3	11
DNAJC2	7	2	2	7
DNAJC21	11	11	19	10
DNAJC24	5	4	1	5
DNAJC3	19	25	1	5
DNAJC5	7	17	47	58
DNAJC6	5	6	15	34
DNAJC7	9	15	5	5
DNAJC8	15	15	5	1
DNAJC9	4	10	17	12
DNASE1L1	7	2	8	5
DNASE2	16	9	5	5
DNER	2	23	3	7
DNM1L	19	19	27	29
DNM2	12	15	2	5
DNM3OS	33	4	83	52
DNMBP	6	18	13	6
DNMT1	7	23	5	7
DNPEP	9	7	7	2
DNTTIP2	5	8	6	4
DOCK1	24	22	0	8
DOCK10	11	58	8	1
DOCK11	15	4	6	6
DOCK4	4	5	0	9
DOCK5	9	40	11	11
DOCK7	16	29	13	8
DOCK9	9	10	6	11
DOK1	2	11	8	14
DOK4	6	5	19	58
DOK5	0	5	16	12
DOPEY1	7	8	7	10
DOPEY2	5	5	5	5
DPAGT1	8	7	9	2
DPF2	4	7	6	11
DPH3	3	14	8	18
DPH5	7	2	6	9
DPM1	1	6	5	15
DPP3	4	7	18	7
DPP4	8	1	6	6
DPP7	14	1	4	11
DPP8	7	4	3	7
DPP9	9	11	31	39
DPT	99	0	3	5
DPY19L1	14	20	11	6
DPY19L3	11	5	8	4
DPY19L4	12	6	69	120
DPY30	6	2	2	6
DPYD	40	20	5	7
DPYSL2	54	28	0	5
DPYSL3	44	30	0	11
DR1	5	16	1	5
DRAM1	25	23	14	1
DRAM2	16	7	9	6
DRAP1	5	19	6	11
DRG1	5	3	22	23
DROSHA	7	10	104	15
DSCR3	9	5	11	7
DSE	37	10	121	398
DSEL	35	25	32	14
DSN1	1	5	3	10
DSP	59	105	47	45
DST	118	171	12	12
DSTN	99	136	5	6
DSTYK	6	5	13	23
DTD1	5	6	9	1
DTWD1	5	3	8	5
DTX3	5	4	10	4
DTX3L	19	12	42	44
DUS1L	4	9	6	6
DUSP1	5	43	4	8
DUSP10	7	1	2	6
DUSP14	8	7	1	5
DUSP22	5	2	5	5
DUSP3	11	7	5	8
DUSP5	2	7	11	10
DUSP7	4	7	8	12
DUT	12	10	2	8
DVL1	5	4	7	15
DVL2	11	1	7	8
DVL3	27	18	16	6
DYM	6	6	15	14
DYNC1H1	111	268	1	7
DYNC1I2	36	32	3	5
DYNC1LI1	5	7	2	5
DYNC1LI2	28	30	0	6
DYNC2H1	33	5	2	6
DYNC2LI1	7	2	4	7
DYNLL1	20	33	11	13
DYNLL2	4	8	16	6
DYNLRB1	6	13	20	31
DYNLT1	7	9	4	7
DYNLT3	11	10	3	6
DYRK1A	6	11	7	1
DYRK2	11	9	6	7
DZIP1	12	2	7	6
DZIP3	4	5	2	8
E2F3	2	5	5	4
E2F4	5	5	106	64
E2F6	9	1	15	19
EAF1	3	6	1	7
EAPP	5	2	5	4
EBF1	5	7	9	11
EBF2	4	5	35	30
EBF3	3	10	5	8
EBLN3	12	10	15	15
EBNA1BP2	5	12	4	10
ECD	7	8	2	24
ECE1	9	30	50	74
ECH1	4	8	8	8
ECHDC1	12	17	18	14
ECHDC2	6	2	31	49
ECHS1	3	14	15	5
ECI1	1	5	2	6
ECI2	9	14	9	12
ECM1	15	20	5	15
ECM2	32	4	15	87
ECT2	3	16	53	35
EDA2R	7	3	5	4
EDC3	5	4	11	17
EDC4	9	12	6	11
EDEM1	10	19	3	13
EDEM3	10	13	2	6
EDF1	11	18	26	36
EDIL3	90	112	5	3
EDN1	0	6	11	6
EEA1	36	21	32	51
EEF1A1	2182	1817	4	78
EEF1B2	53	37	24	37
EEF1D	24	33	6	4
EEF1G	169	145	2	5
EEF2	372	240	34	38
EEF2K	4	11	0	24
EFCAB14	6	10	15	30
EFEMP1	246	221	4	10
EFEMP2	24	25	7	6
EFHC1	8	4	4	7
EFHD2	2	5	21	6
EFNB2	14	9	3	8
EFR3A	42	19	12	25
EFTUD1	3	10	17	28
EFTUD2	13	15	0	12
EGF	0	5	6	10
EGFR	12	18	9	17
EGLN1	12	9	7	7
EGR1	8	29	5	7
EHBP1	21	11	5	6
EHBP1L1	13	31	22	51
EHD1	3	20	10	32
EHD2	25	73	0	7
EHD4	0	9	19	94
EHMT1	7	6	2	5
EHMT2	8	6	7	9
EI24	14	20	7	3
EID1	53	35	13	12
EIF1	108	59	8	0
EIF1AD	3	5	5	8
EIF1AX	11	14	25	73
EIF1B	3	7	4	10
EIF2A	24	12	29	27
EIF2AK1	11	23	12	20
EIF2AK4	19	19	9	17
EIF2B1	7	12	14	34
EIF2B2	7	6	20	17
EIF2B3	2	6	5	0
EIF2B4	10	9	3	8
EIF2B5	5	9	93	141
EIF2D	8	10	5	11
EIF2S1	13	12	4	8
EIF2S2	26	35	35	30
EIF2S3	37	29	9	12
EIF3A	90	78	6	14
EIF3B	16	20	33	34
EIF3D	42	24	8	10
EIF3E	75	24	13	22
EIF3F	38	22	4	5
EIF3G	19	11	1	8
EIF3H	30	19	6	8
EIF3I	14	34	9	9
EIF3J	7	18	8	8
EIF3K	11	13	11	35
EIF3L	53	36	5	8
EIF3M	26	24	10	19
EIF4A2	59	47	22	59
EIF4A3	3	6	12	6
EIF4B	126	72	8	12
EIF4E	3	22	7	11
EIF4E2	14	17	4	6
EIF4EBP1	5	3	5	5
EIF4EBP2	27	16	4	5
EIF4ENIF1	4	7	5	8
EIF4G1	63	100	1	8
EIF4G2	162	238	49	39
EIF4G3	44	32	91	43
EIF4H	33	51	4	6
EIF5	49	44	16	19
EIF5A	18	48	1	8
EIF5A2	2	6	0	5
EIF5B	18	25	11	6
EIF6	6	29	6	8
ELAC2	6	13	3	6
ELAVL1	13	9	12	17
ELF1	13	6	6	11
ELF2	9	7	7	13
ELF4	3	9	12	31
ELK1	5	6	10	7
ELK3	19	14	7	7
ELK4	14	10	8	10
ELL2	35	78	25	58
ELMO2	3	8	9	10
ELMOD2	6	4	18	34
ELMSAN1	4	6	6	10
ELN	23	202	20	27
ELOVL1	8	18	6	5
ELOVL5	34	30	6	6
ELOVL6	2	14	9	16
ELP2	11	15	13	19
ELTD1	28	17	21	41
EMB	4	10	17	7
EMC1	13	29	29	42
EMC10	5	6	13	12
EMC2	5	8	12	22
EMC3	12	9	25	21
EMC4	6	16	12	7
EMC7	11	16	6	9
EMD	8	12	7	12
EMILIN1	38	20	22	20
EML1	8	5	27	14
EML3	5	4	9	3
EML4	16	14	5	4
EMP1	64	32	3	5
EMP2	13	7	15	10
EMP3	21	13	7	14
ENAH	40	84	9	27
ENC1	10	38	17	23
ENDOD1	3	31	19	21
ENG	24	132	17	18
ENO1	144	308	6	15
ENO2	9	4	6	6
ENOPH1	9	12	6	5
ENOSF1	9	3	5	10
ENOX1	5	1	58	43
ENPP1	8	2	6	2
ENPP2	20	6	6	7
ENSA	10	11	16	34
ENTPD4	19	24	13	16
ENTPD6	4	12	5	6
ENY2	2	8	4	9
EOGT	13	10	9	19
EP300	22	12	6	5
EP400	10	12	12	13
EPAS1	50	33	9	11
EPB41	3	10	10	7
EPB41L1	4	7	12	9
EPB41L2	22	29	6	5
EPC2	9	3	10	10
EPDR1	9	10	15	6
EPG5	17	66	5	12
EPGN	0	20	19	17
EPHA2	2	20	18	14
EPHA3	7	2	29	27
EPHA4	6	2	8	8
EPHA5	3	24	5	11
EPHB2	2	5	15	17
EPHB4	5	7	2	20
EPHX1	17	9	5	7
EPM2AIP1	9	16	4	14
EPN1	6	5	11	3
EPN2	6	8	18	22
EPRS	52	59	8	15
EPS15	17	13	6	6
EPS15L1	7	11	7	8
EPS8	34	32	25	22
EPT1	4	8	3	31
EPYC	16	0	5	11
ERAL1	5	6	15	7
ERAP1	14	12	6	10
ERBB2	8	13	10	13
ERBB2IP	19	37	9	18
ERBB3	0	7	15	17
ERC1	11	14	1	5
ERCC1	7	8	37	19
ERCC2	3	8	11	12
ERCC3	9	5	12	7
ERCC4	5	2	4	5
ERCC6	2	7	7	6
ERCC6L2	7	4	30	27
ERGIC1	30	49	11	6
ERGIC2	6	3	11	15
ERGIC3	26	31	13	17
ERH	11	12	7	3
ERI3	5	8	7	12
ERLEC1	20	19	9	6
ERLIN1	18	28	3	8
ERLIN2	5	17	23	58
ERMP1	5	3	30	18
ERO1L	13	12	15	10
ERP29	22	11	11	17
ERP44	12	7	10	13
ERRFI1	17	8	17	28
ESD	28	17	4	6
ESF1	9	2	8	8
ESM1	0	6	4	9
ESYT1	17	34	7	9
ESYT2	20	28	8	3
ETAA1	6	0	7	15
ETF1	15	34	42	19
ETFA	8	15	12	7
ETFB	3	9	6	11
ETFDH	5	4	4	5
ETNK1	10	8	16	8
ETS1	28	22	26	6
ETV1	11	2	4	5
ETV5	5	10	14	12
ETV6	6	2	5	7
EVA1A	2	5	4	17
EVC	12	16	3	10
EVC2	8	0	15	30
EVI2A	38	2	23	5
EVI2B	10	2	48	54
EVI5	4	11	4	10
EVI5L	6	5	12	7
EVL	3	6	25	7
EWSR1	17	29	11	5
EXD2	5	2	1	5
EXOC1	12	8	8	16
EXOC2	8	7	6	18
EXOC3	6	9	49	109
EXOC4	19	10	17	16
EXOC5	15	20	5	4
EXOC7	16	14	6	25
EXOC8	3	7	4	8
EXOG	4	6	11	8
EXOSC10	18	3	5	8
EXOSC2	0	5	31	26
EXOSC9	8	13	40	44
EXT1	18	49	11	16
EXT2	23	47	14	20
EXTL1	1	5	14	12
EXTL2	18	7	9	9
EXTL3	4	13	7	3
EYA3	1	6	12	23
EYA4	6	4	9	8
EZH1	8	5	42	21
EZR	2	41	40	43
F2R	78	10	22	15
F2RL2	5	5	12	12
F3	7	27	17	19
FADS1	104	15	17	10
FADS2	52	31	4	9
FADS3	7	22	15	16
FAF1	0	8	28	30
FAF2	9	17	16	9
FAM101B	8	27	26	33
FAM102A	10	5	2	7
FAM102B	2	6	10	9
FAM103A1	6	0	8	4
FAM104A	4	12	11	21
FAM107B	4	28	8	28
FAM109B	5	6	8	8
FAM111A	14	12	6	10
FAM111B	0	5	7	6
FAM114A1	31	41	12	11
FAM114A2	6	3	2	5
FAM115A	35	29	17	12
FAM120A	26	45	9	7
FAM120AOS	6	4	40	45
FAM120B	7	4	9	13
FAM122B	4	5	1	6
FAM126A	20	11	4	10
FAM126B	5	6	10	12
FAM127A	7	24	15	0
FAM129A	10	2	4	7
FAM129B	35	72	5	8
FAM134A	21	14	5	1
FAM134C	5	7	54	77
FAM13A	6	3	5	3
FAM13B	7	10	13	12
FAM149B1	5	4	4	8
FAM160B1	11	30	0	10
FAM160B2	9	12	16	16
FAM162A	2	6	5	10
FAM168A	17	19	2	6
FAM168B	24	25	8	8
FAM171A1	6	13	2	7
FAM171B	8	9	13	19
FAM172A	8	7	5	13
FAM175B	7	1	20	3
FAM177A1	9	15	6	15
FAM178A	10	13	8	7
FAM180A	6	5	7	0
FAM188A	6	6	11	7
FAM192A	8	9	12	22
FAM193A	5	6	5	7
FAM193B	3	6	6	3
FAM195B	6	7	9	8
FAM198B	75	40	12	10
FAM199X	5	11	3	5
FAM200B	3	8	7	20
FAM204A	6	5	2	8
FAM208A	14	22	8	3
FAM208B	16	16	8	5
FAM20A	23	0	2	5
FAM20B	7	14	7	3
FAM20C	27	9	3	7
FAM210B	7	5	9	3
FAM214A	7	7	4	9
FAM214B	5	7	1	5
FAM219B	12	6	3	11
FAM21A	19	12	20	14
FAM21C	10	6	4	5
FAM26E	4	7	3	7
FAM32A	11	10	6	3
FAM3C	53	19	6	4
FAM45A	11	9	6	5
